content_review,setinment,stars_rated,is_clothing,user_id,order_id,prod_id
Giao hàng nhanh.    ,1,5,1,0,0,0
Áo đẹp lắm luôn ak lần sau ủng hộ shof nữa    Shop phục vụ rất tốt,1,5,1,0,0,0
Trg khi mình chả lm j nên tội,-1,1,1,0,0,0
Hàng ưng ý,1,5,1,0,0,0
Thời gian giao hàng rất nhanh.chưa dung thư chưa biet chất lượng ntn....tam cho 4sao,1,4,1,0,0,0
"Vải mỏng nè, k bo gấu tay áo gấu quần nè, hình in chưa nét lắm nè, so với tần giá thì ổn",0,3,1,0,0,0
Khuyên thật mọi người,-1,1,1,0,0,0
Quá đẹp quá ok cam ơn shop a,1,5,1,0,0,0
Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Chủ shop siêu nhiệt tình ,1,5,1,0,0,0
Chưa thấy shop nào bọc hàng có tâm như shop,1,5,1,0,0,0
Shop nên miêu tả kĩ hơn về sản phẩn này,-1,1,1,0,0,0
Sản phẩm tốt,1,5,1,0,0,0
Sản phẩm quá quá tuyệt vời,1,5,1,0,0,0
"Giày xinh cực , chủ shop vừa nhiệt tình vừa dễ thương",1,5,1,0,0,0
"Giao sai màu, chất áo với giá như vậy là được",-1,1,1,0,0,0
Để mình xem nếu có mình đặt 1 cái,1,5,1,0,0,0
Hàng rất tôit,1,5,1,0,0,0
Sau khi thươg thuyết ko thành công thì chăn cả khách,-1,1,1,0,0,0
Chất đẹp áo giống ảnh,1,5,1,0,0,0
"Shop này bán đúng quảng cáo ,tốt",1,5,1,0,0,0
Huhu,-1,1,1,0,0,0
"Quần quá nhỏ, mua size lớn nhất mà 59kg, mông thì lép mà mặc vào như đòn bánh tét",-1,1,1,0,0,0
Đóng gói sản phẩm rất đẹp và chắc chắn,1,5,1,0,0,0
Áo quá đẹp luôn ạ...có điều mũ k có dây như hình thôi ạ,1,5,1,0,0,0
"Đóng gói sản phẩm rất đẹp và chắc chắn, thời gian giao hàng rất nhanh",1,5,1,0,0,0
Rất đáng tiền,1,5,1,0,0,0
"Hình trên áo là hình dán, rất dễ bong",-1,2,1,0,0,0
Chất vải oke,1,4,1,0,0,0
4 áo có 2 loại mỏng và dày.1 áo màu hồng khác loại nhất ko giống len tăm,1,5,1,0,0,0
